h	Clients	NPCs	Locations
1	**Takano Corp,** general manufacturing, software, rocketry.	**Garbus**, bioaugmented researcher. Fuzzy. Slit eyes. Looking to strike it BIG.	**Greenlight**, colony: far below the canopy, a bubble city; tech experiments
2	**Barony of Saxfith the Vast**, corrupt hungry aristocracy.	**Lucien**, genetically-engineered trust fund baby. Frail, demanding, crazy rich.	**Bollstone**, colony: ancient insectile bastion, erroneously believed to be human in origin
3	**Henjen Systems**, shipbuilders under Takano, as all things.	**Stan Rykiel**, astronaut: half-dead, puppeteer'd by an insect in his ribcage.	**Brahe**, planet: rolling rain damp hills, one of the first t-forms, heirloom flora
4	**PYRAMID Extraction**, deep boring, fossil fuels, surveying.	**Thierry**, fashionable mercenary. Lounging manner, exotic weaponry, aesthete.	**Onasilos**, planet: irradiated desert; vast caverns beneath; biotech wild west
5	**Hive Union Local 1906**, represents colonial workers.	**Troy**, former marine trying to settle down with family. Burn scars. Smokes.	**WALD-39a**, planet: dark xenoforest, toxic, scattered outposts, howling wind
6	**Rotavax Medical**, medical supply manufacturing and research.	**Bolton**, Takano rep., jolly, willing to cut deals at the cost of personal favors later.	**KB-19**, planet: gas giant with orbital junkyard. Once a comms hub.
7	**Blanton & Jan**, legal firm; fictive founders, legions of agents.	**Montana,** rocket jockey, dyed hair, retinue of androids. DTF. Party animal. Jock.	**Luyten b**, planet: super earth, orbiting brown dwarf, balmy barren surface.
8	**XAVECTOL Systems**, large scale technology, avionics, mil. tech.	**Alana Gallagher**, salvager. Elaborate braids, family nearby, mixed up with bad people.	**Sudden Watch**, outpost: dugout, multiple gun positions, anti-air radar
9	**AGRIMAX Consolidated**, agricultural research and supply.	**Lagerfeld**, archeologist: hiring crew for a dig, has rumors of xenoarchitecture.	**Mohlen Reach**, outpost: isolated retreat, clustered huts, decades of rent for cheap
10	**Albat Shipping Corp.**, cut-rate long-haul shipping.	**Chavefsky**, crimelord: enjoys the baser things. Bathrobe. Still gets his hands dirty.	**Kavarskas**, colony: bitter cold, high walls, lamps on every corner; an archive
11	**Nulle Technologies**, high-grade personal technologies.	**Yohji**, harpooner: methodical and kind. Several generations in the job.	**GDC Alpha**, training facility: on wind blasted steppes, new pilots take flight
12	**Macbeth-Linkovich Consolidated Logistics**, heavy transit, large scale.	**Liz**, chipper android, pink outer shell. Escaped abusive work environment.	**Drillsite Sentinel**, mining colony: deep bore, 1st edge of a new expansion
13	**VERNER, ltd.**, processing, extraction, bulk goods, heavy machinery.	**Barth & Skeat**, underlings: smuggle rare goods and people. Utterly unscrupulous.	**Prosenik**, penal colony: lonely, communal. Ramshackle housing; deadly fauna
14	"**Cataplex**, media titan, owns most likenesses, ""balanced reporting""."	**Strauss**, professor: stuffy, bearded, has a cat. Prosthetic legs. Anti-corporate.	**Lorsha Dependency**, planetary claim: a slice of a much-desired world; frigid.
15	**The COMDOT Network**, subnet infrastructure and data collection.	**Klein & Bonger**, lowlives: matching ski-masks and switchblades. Mostly lazy.	**Mount Terror**, dig site: volcano rising above even the atmosphere. Odd stone eggs.
16	**Dragoon Processing Corp.** (Defunct), VERNER competitor; lost.	**Bernhardt**, bodyguard: bulky, shotgun-wielding, visor-for-eyes. Several backup sleeves.	**Seal Fry**, depot: drips with grease, lube. Refuge for tired spacers. Far out.
17	**LOANFRIEND**, companionship gigwork, various ranked tiers.	**Ignacio Ruiz**, VERNER C-level. Claims humble origins. Xeno-obsessed.	**Erebus**, derelict: a spindle, hanging broken. Its contents spilled like glitter.
18	**Boppi**, communications giant, planetary internets, browsing, etc.	**Graves**, bounty hunter: assumed name. Face tattoos. Works cheap, messy jobs.	**One Ton Eye**, monitoring station: vast biotech blob for sensing gods.
19	**Chatflap**, invasive instant messaging, needs ambassadors, content.	**Pelton**, security chief: big mustache, scrawny, working up the ladder. On the take.	**Site-411**, restricted testing site: layers of fence; attempts to get deeper than jumpspace
20	**Groundflor**, personnel management bureau, parasitic.	**Anders**, PYRAMID Extraction rep. Bald, humorless, stained by mining dyes. Company clone.	**DH-6302c**, planet: terrestrial giant, no atmosphere, high eccentricity, mineral rich
21	**Subgov**, generic term for sub-local government, planet-sized or smaller.	**Holly Assante**, out-of-work merc: consummate veteran. Rough. Drinking problem.	**The Bear**, derelict: fattened expedition vessel, slowly starved ... then eaten
22		**Cobalt**, corporate operator: all-blue eyes. Believes themself a stylish killer. Pitiless.	**The Odontspire**, religious site: blackened fingernail, mass data-vaults, blue doors
23		**Igor**, cook: makes a mean stew, runs a small place, in debt to bad folks.	**Growler Canyon**, backworld landform: winding, traitorous, perverse limestone
24		**Dr. Faltz**, celebrity physician: changes faces, sculpts bodies, harvests from the living.	**MT-9317a**, planet: terrestrial dwarf. Green crags, hyperactive volcanism; ghosts?
25		**Brickbat**, hitman: face surgically flattened. Cybermodded. Likes crunch time.	**Challenge**, metropolis: stonework; a city of blades beneath corporate headquarters.
26		**Eggmont Lamondson**, C-level in the Demersal Baron's court. Opulent, greedy.	**The Shallows**, region: inland sea, a string of resorts, now abandoned. Piracy.
27		**Jankowski**, navigator: a little cracked. Worships jumpspace. Knitted beanie.	**Shackleton Hatch**, huge alien doorway, 3-lobed, like the moon's heart. Archeological dig.
28		**Holiday**, vagabond: keeping a log. Knows a lot of rumors. Will skip out on you.	**Dropsite Zulu**, farthest expedition site, scattered drone supplies, valley floor.
29		**T. Jon Valence**, partner at Blanton & Jan: smiley, friendly, bills by the minute.	**VB-9731**, planet: terrestrial super earth. Slow rotation. Near-pitch fog. High O2, tall plants.
30		**Masha**, hacker: stylish. Drug problems. Always chasing a high.	**Gallows Hill**, settlement: wire-wracked knob. Swinging bodies. Small colony. Yellow sky.
31		**Chipp Drake**, Cataplex rep: latest trends, garish shirts, buzzwords, horny AF.	**Ygariumi Waste**, planum: terraforming runoff, strange mutations.
32		**Vondrev**, survivalist: wrapped in poncho. Buys and sells gear. Gruff.	**COLDREEF**, blacksite: dissidents and hostages on ice. Tower of pods. Control center.
33		**Paul Roth-Caverly**, technician: just cleared apprentice. Space-born.	**Whiteline Reach**, outpost: chalky ground, fabric structures, high winds, masked locals.
34		**Lara Reitz**, teamster: union organizer, carries sabotage kit.	**Morning Glory**, city: vaulted archways, engineered vines, gondola system, plasticized.
35		**Walden**, salvager: big beard, synthetic muskrat pet, grows plants.	**Palidar**, colony: thick walls and pillboxes, remnant of an old war, still fought, deep tunnels.
36		**Lowry**, mechanic: gear-head, drips with tools. Nothing they can't fix.	**Blinny**, settlement: single painted dome, cheerful, atop many-story fishworks.
37		**Thoreau**, scholar: ancient languages, dead concepts, and university funding.	**New Adalaide**, colony: low-lying suburb, cooling tunnels, wind farm, company town.
38		**Crosspox**, slicked: exposed neuro-nodes, spiky hair, atrophied. Won 3rd in the arm.	**The Ororborous**, station: high-tech torus, many decks of servers and desks, derelict canyons.
39		**Quintero**, gig-jockey: brash, hustle-positive. Holographic robe. Big on sushi.	**FOB Grifflet**, mil. base: responding to calls to pacify militants on an ag-world.
40		**Meggeson**, hauler: short-hop. Lonely work. Hard. Looking for a new job.	**RJO-37**, ship: long-haul warship. Preserved cyberaugmented crew, bulbous and nuke-armed.
41		**Klarissa**, geologist: academy-fresh. Ponytail. Bright-eyed landlubber.	**Owens Rest**, waystation: fuel stores, trailing spokes, capsule rooms, limited amenities.
42		**Addison**, courier: goth-punk. Happy to encrypt traffic, work under the table.	**FEEDHOUSE**, station: hanging labgrowth, 0g factory, skeins of skin, winding bowel.
43		**Ria**, scout: carries a really big rifle. Trust issues. Sadistic streak.	**Ransome's Rig**, ship: mercantile for weary travelers, antique gear, rumors, salt baths.
44		**Comitissa Arcada**, minor noble: compassionate facade, ruthless bodyguards.	**Saltback**, leviathan: geological scale, extensive parasitism. 6 fins. Monastery.
