h	name	job	annoying_habit	testimony	location
1	Sylvia Tate	Overseer's Staff	Picks Nose	Murderer and Victim ate lunch together.	Mine
2	Cerise Gillenwater	Miner	Winks	Murderer spoke often with Lucas.	Lab
3	Xavier Bustillos	Nurse	Picks Teeth	Saw the Murderer calmly going about their routine after the crime.	Space Elevator Landing
4	Octavian Fuller	Waiter	Flatulent	Murderer and Victim were playing poker last night at D'Place.	Schoolhouse
5	Richard Sleeper	Cook	Close Talker	Heard a scream, saw Murderer exiting the scene shortly after.	Communications Array
6	Mungo Adler	Child	Chews Hair	Victim gave Murderer an extra ration last week.	D'Place Saloon
7	Uriah Jessup	Custodian	Cracks Knuckles	Saw a child delivering the Murderer a note, face blanked upon reading.	Worker Pods
8	Bianca Brett	Shift Leader	Rambles	Earlier that day, Victim and Murderer spoke in hushed tones about the unionization effort.	Company Store
9	Deedee Knotts	Stevedore	Snaps Gum	The Murderer called in a favor on the Victim.	Cemetery
10	Elyse van Warwick	Mechanic	Taps Foot	Murderer once tried to force the Saloon doors before opening hour.	Franklin Cordero's Casita
